codigo_da_postagem,nome_portal,texto_da_postagem,texto_do_comentario,sentimento
1,@g1,governador mauro mendes fratura costelas após cair de escada durante vistoria à obra estadual em mt g1,governador mauro mendes fratura costelas após cair de escada durante vistoria à obra estadual em mt g1,POSITIVO
2,@g1,escola troca professores por inteligência artificial e tem só 2 horas de aula por dia mensalidades partem de r 18 mil g1,como tem gente sem noção pagando fortuna pra qualquer coisa que tenha só o marketing bom,POSITIVO
2,@g1,escola troca professores por inteligência artificial e tem só 2 horas de aula por dia mensalidades partem de r 18 mil g1,r 18 mil,NEUTRO
3,@g1,gusttavo lima fala sobre briga com cristiano araújo antes de morte do sertanejo g1,depois que m0rre todo mundo vira santo e é querido por todos,POSITIVO
3,@g1,gusttavo lima fala sobre briga com cristiano araújo antes de morte do sertanejo g1,mamador de dinheiro público,NEUTRO
3,@g1,gusttavo lima fala sobre briga com cristiano araújo antes de morte do sertanejo g1,detrito sonoro,NEUTRO
3,@g1,gusttavo lima fala sobre briga com cristiano araújo antes de morte do sertanejo g1,gustavo lima e um lixo,NEUTRO
3,@g1,gusttavo lima fala sobre briga com cristiano araújo antes de morte do sertanejo g1,esse cara não tava investigado e ia ser preso,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,não teve golpe nenhum e vocês vão fica pra história em apoiar o regime ditatorial em troca de dinheiro,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,o único golpe quem deu foi o regime que atua no brasil bolsonaro é apenas o maior líder político que o regime censurou e quer tirar da concorrência a vontade do povo não é respeitada nesse país todos do regime devem pagar por toda essa repressão incluindo a mídia,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,a magnitsky vai descer firme,POSITIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,kkkkkkkkk inédito julgamento de gopi fantasma,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,ansioso pro julgamento do inss esse sim vai ser legal de ver com o irmão do lula,POSITIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,só pra lembrar anistia hj golpe amanhã,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,a trama do golpe a um patrimônio prédio,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,lugar de golpista é na cadeia,NEUTRO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,a trama do golpe hahahhahaha,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,gópi tabajata,NEUTRO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,o verdadeiro golpe será dado dia 02 agora mas a resposta a vcs e o sistema vira no dia 07 de setembro o brasil não vai perdoar vcs da globo,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,que golpe cadê a minuta que ninguém viu só narrativas perseguição política descarada,NEGATIVO
4,@g1,a trama do golpe os episódios que levaram a um julgamento inédito na história brasileira e colocaram bolsonaro e mais 7 no banco dos réus g1,golpista vagabundo mamateiro covardão,NEUTRO
5,@g1,exclusivo governo propôs multa de até 100 do faturamento a hotéis para conter preços abusivos na cop30 g1,viva o livre comércio desde que o governo controle tudo,POSITIVO
5,@g1,exclusivo governo propôs multa de até 100 do faturamento a hotéis para conter preços abusivos na cop30 g1,a degeneração moral da sociedade brasileira é gritante,NEUTRO
6,@g1,recusa de padre em batizado de menina gera debate sobre escolha de nomes no brasil veja regras g1,importante ressaltar que o rito de batizado nao fala o nome da criança muitas vezes na vdd somente duas o video está a editado situação bem denecessaria,POSITIVO
